Year, Establishments < 1 yr, Trademarks Filed, Private Sector Jobs (x1000), DJIA yearly close, NASDAQ yearly close, S&P 500 yearly close
1994, 569419, 161055,  96777, 3834.44,  751.96,  459.27
1995, 604415, 188850,  98854, 5117.12,  1052.13, 615.93
1996, 609638, 212510, 101572, 6448.27,  1291.03, 740.74
1997, 639114, 234610, 104783, 7908.30,  1570.35, 970.43
1998, 643070, 246611, 107517, 9181.43,  2192.69, 1229.23
1999, 650730, 260761, 110232, 11497.12, 4069.31, 1469.25
2000, 674644, 292464, 111905, 10787.99, 2470.52, 1320.28
2001, 671383, 216311, 109627, 10021.57, 1950.40, 1148.08
2002, 659236, 212638, 108884, 8341.63,  1335.51, 879.82
2003, 662543, 221739, 109042, 10453.92, 2003.37, 1111.92
2004, 653887, 250366, 110931, 10783.01, 2175.44, 1211.92
2005, 679925, 263677, 113270, 10717.50, 2205.32, 1248.29
2006, 715734, 276110, 115161, 12463.15, 2415.29, 1418.30
2007, 703834, 303501, 116016, 13264.82, 2652.28, 1468.36
2008, 678095, 292726, 112283, 8776.39,  1577.03, 903.25
2009, 608769, 265943, 107306, 10428.05, 2269.15, 1115.10
2010, 560588, 281462, 108556, 11577.51, 2652.87, 1257.64
2011, 582569, 305209, 110942, 12217.56, 2605.15, 1257.60
2012, 631817, 313325, 113185, 13104.14, 3019.51, 1426.19
2013, 629078, 323340, 115553, 16576.66, 4176.59, 1848.36
2014, 652780, 342576, 118430, 17823.07, 4736.05, 2058.90
2015, 679072, 374976, 121000, 17425.03, 5007.41, 2043.94